Sl.no,Gender,Mood,Weather,Occasion,Output
797,Male,Mellow,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
798,Male,Mellow,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
799,Male,Mellow,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
800,Male,Mellow,Cool,Casual,A casual t-shirt with jeans and sneakers.
801,Male,Droopy,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
802,Male,Droopy,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
803,Male,Droopy,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
804,Male,Droopy,Sunny,Casual,A casual t-shirt with jeans and sneakers.
805,Male,Droopy,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
806,Male,Droopy,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
807,Male,Droopy,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
808,Male,Droopy,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
809,Male,Droopy,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
810,Male,Droopy,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
811,Male,Droopy,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
812,Male,Droopy,Rainy,Casual,A casual t-shirt with jeans and sneakers.
813,Male,Droopy,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
814,Male,Droopy,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
815,Male,Droopy,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
816,Male,Droopy,Cool,Casual,A casual t-shirt with jeans and sneakers.
817,Male,Sad,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
818,Male,Sad,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
819,Male,Sad,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
820,Male,Sad,Sunny,Casual,A casual t-shirt with jeans and sneakers.
821,Male,Sad,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
822,Male,Sad,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
823,Male,Sad,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
824,Male,Sad,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
825,Male,Sad,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
826,Male,Sad,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
827,Male,Sad,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
828,Male,Sad,Rainy,Casual,A casual t-shirt with jeans and sneakers.
829,Male,Sad,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
830,Male,Sad,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
831,Male,Sad,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
832,Male,Sad,Cool,Casual,A casual t-shirt with jeans and sneakers.
833,Female,Excited,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
834,Female,Excited,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
835,Female,Excited,Sunny,Party,A cocktail dress with stylish accessories.
836,Female,Excited,Sunny,Casual,A casual blouse with jeans and flats.
837,Female,Excited,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
838,Female,Excited,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
839,Female,Excited,Cloudy,Party,A cocktail dress with stylish accessories.
840,Female,Excited,Cloudy,Casual,A casual blouse with jeans and flats.
841,Female,Excited,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
842,Female,Excited,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
843,Female,Excited,Rainy,Party,A cocktail dress with stylish accessories.
844,Female,Excited,Rainy,Casual,A casual blouse with jeans and flats.
845,Female,Excited,Cool,Formal,A tailored pantsuit or a formal dress with heels.
846,Female,Excited,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
847,Female,Excited,Cool,Party,A cocktail dress with stylish accessories.
848,Female,Excited,Cool,Casual,A casual blouse with jeans and flats.
849,Female,Mellow,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
850,Female,Mellow,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
851,Female,Mellow,Sunny,Party,A cocktail dress with stylish accessories.
852,Female,Mellow,Sunny,Casual,A casual blouse with jeans and flats.
853,Female,Mellow,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
854,Female,Mellow,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
855,Female,Mellow,Cloudy,Party,A cocktail dress with stylish accessories.
856,Female,Mellow,Cloudy,Casual,A casual blouse with jeans and flats.
857,Female,Mellow,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
858,Female,Mellow,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
859,Female,Mellow,Rainy,Party,A cocktail dress with stylish accessories.
860,Female,Mellow,Rainy,Casual,A casual blouse with jeans and flats.
861,Female,Mellow,Cool,Formal,A tailored pantsuit or a formal dress with heels.
862,Female,Mellow,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
863,Female,Mellow,Cool,Party,A cocktail dress with stylish accessories.
864,Female,Mellow,Cool,Casual,A casual blouse with jeans and flats.
865,Female,Droopy,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
866,Female,Droopy,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
867,Female,Droopy,Sunny,Party,A cocktail dress with stylish accessories.
868,Female,Droopy,Sunny,Casual,A casual blouse with jeans and flats.
869,Female,Droopy,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
870,Female,Droopy,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
871,Female,Droopy,Cloudy,Party,A cocktail dress with stylish accessories.
872,Female,Droopy,Cloudy,Casual,A casual blouse with jeans and flats.
873,Female,Droopy,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
874,Female,Droopy,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
875,Female,Droopy,Rainy,Party,A cocktail dress with stylish accessories.
876,Female,Droopy,Rainy,Casual,A casual blouse with jeans and flats.
877,Female,Droopy,Cool,Formal,A tailored pantsuit or a formal dress with heels.
878,Female,Droopy,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
879,Female,Droopy,Cool,Party,A cocktail dress with stylish accessories.
880,Female,Droopy,Cool,Casual,A casual blouse with jeans and flats.
881,Female,Sad,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
882,Female,Sad,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
883,Female,Sad,Sunny,Party,A cocktail dress with stylish accessories.
884,Female,Sad,Sunny,Casual,A casual blouse with jeans and flats.
885,Female,Sad,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
886,Female,Sad,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
887,Female,Sad,Cloudy,Party,A cocktail dress with stylish accessories.
888,Female,Sad,Cloudy,Casual,A casual blouse with jeans and flats.
889,Female,Sad,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
890,Female,Sad,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
891,Female,Sad,Rainy,Party,A cocktail dress with stylish accessories.
892,Female,Sad,Rainy,Casual,A casual blouse with jeans and flats.
893,Female,Sad,Cool,Formal,A tailored pantsuit or a formal dress with heels.
894,Female,Sad,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
895,Female,Sad,Cool,Party,A cocktail dress with stylish accessories.
896,Female,Sad,Cool,Casual,A casual blouse with jeans and flats.
897,Others,Excited,Sunny,Formal,Default outfit description.
898,Others,Excited,Sunny,Ethnic,Default outfit description.
899,Others,Excited,Sunny,Party,Default outfit description.
900,Others,Excited,Sunny,Casual,Default outfit description.
901,Others,Excited,Cloudy,Formal,Default outfit description.
902,Others,Excited,Cloudy,Ethnic,Default outfit description.
903,Others,Excited,Cloudy,Party,Default outfit description.
904,Others,Excited,Cloudy,Casual,Default outfit description.
905,Others,Excited,Rainy,Formal,Default outfit description.
906,Others,Excited,Rainy,Ethnic,Default outfit description.
907,Others,Excited,Rainy,Party,Default outfit description.
908,Others,Excited,Rainy,Casual,Default outfit description.
909,Others,Excited,Cool,Formal,Default outfit description.
910,Others,Excited,Cool,Ethnic,Default outfit description.
911,Others,Excited,Cool,Party,Default outfit description.
912,Others,Excited,Cool,Casual,Default outfit description.
913,Others,Mellow,Sunny,Formal,Default outfit description.
914,Others,Mellow,Sunny,Ethnic,Default outfit description.
915,Others,Mellow,Sunny,Party,Default outfit description.
916,Others,Mellow,Sunny,Casual,Default outfit description.
917,Others,Mellow,Cloudy,Formal,Default outfit description.
918,Others,Mellow,Cloudy,Ethnic,Default outfit description.
919,Others,Mellow,Cloudy,Party,Default outfit description.
920,Others,Mellow,Cloudy,Casual,Default outfit description.
921,Others,Mellow,Rainy,Formal,Default outfit description.
922,Others,Mellow,Rainy,Ethnic,Default outfit description.
923,Others,Mellow,Rainy,Party,Default outfit description.
924,Others,Mellow,Rainy,Casual,Default outfit description.
925,Others,Mellow,Cool,Formal,Default outfit description.
926,Others,Mellow,Cool,Ethnic,Default outfit description.
927,Others,Mellow,Cool,Party,Default outfit description.
928,Others,Mellow,Cool,Casual,Default outfit description.
929,Others,Droopy,Sunny,Formal,Default outfit description.
930,Others,Droopy,Sunny,Ethnic,Default outfit description.
931,Others,Droopy,Sunny,Party,Default outfit description.
932,Others,Droopy,Sunny,Casual,Default outfit description.
933,Others,Droopy,Cloudy,Formal,Default outfit description.
934,Others,Droopy,Cloudy,Ethnic,Default outfit description.
935,Others,Droopy,Cloudy,Party,Default outfit description.
936,Others,Droopy,Cloudy,Casual,Default outfit description.
937,Others,Droopy,Rainy,Formal,Default outfit description.
938,Others,Droopy,Rainy,Ethnic,Default outfit description.
939,Others,Droopy,Rainy,Party,Default outfit description.
940,Others,Droopy,Rainy,Casual,Default outfit description.
941,Others,Droopy,Cool,Formal,Default outfit description.
942,Others,Droopy,Cool,Ethnic,Default outfit description.
943,Others,Droopy,Cool,Party,Default outfit description.
944,Others,Droopy,Cool,Casual,Default outfit description.
945,Others,Sad,Sunny,Formal,Default outfit description.
946,Others,Sad,Sunny,Ethnic,Default outfit description.
947,Others,Sad,Sunny,Party,Default outfit description.
948,Others,Sad,Sunny,Casual,Default outfit description.
949,Others,Sad,Cloudy,Formal,Default outfit description.
950,Others,Sad,Cloudy,Ethnic,Default outfit description.
951,Others,Sad,Cloudy,Party,Default outfit description.
952,Others,Sad,Cloudy,Casual,Default outfit description.
953,Others,Sad,Rainy,Formal,Default outfit description.
954,Others,Sad,Rainy,Ethnic,Default outfit description.
955,Others,Sad,Rainy,Party,Default outfit description.
956,Others,Sad,Rainy,Casual,Default outfit description.
957,Others,Sad,Cool,Formal,Default outfit description.
958,Others,Sad,Cool,Ethnic,Default outfit description.
959,Others,Sad,Cool,Party,Default outfit description.
960,Others,Sad,Cool,Casual,Default outfit description.
961,Male,Excited,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
962,Male,Excited,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
963,Male,Excited,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
964,Male,Excited,Sunny,Casual,A casual t-shirt with jeans and sneakers.
965,Male,Excited,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
966,Male,Excited,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
967,Male,Excited,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
968,Male,Excited,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
969,Male,Excited,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
970,Male,Excited,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
971,Male,Excited,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
972,Male,Excited,Rainy,Casual,A casual t-shirt with jeans and sneakers.
973,Male,Excited,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
974,Male,Excited,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
975,Male,Excited,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
976,Male,Excited,Cool,Casual,A casual t-shirt with jeans and sneakers.
977,Male,Mellow,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
978,Male,Mellow,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
979,Male,Mellow,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
980,Male,Mellow,Sunny,Casual,A casual t-shirt with jeans and sneakers.
981,Male,Mellow,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
982,Male,Mellow,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
983,Male,Mellow,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
984,Male,Mellow,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
985,Male,Mellow,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
986,Male,Mellow,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
987,Male,Mellow,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
988,Male,Mellow,Rainy,Casual,A casual t-shirt with jeans and sneakers.
989,Male,Mellow,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
990,Male,Mellow,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
991,Male,Mellow,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
992,Male,Mellow,Cool,Casual,A casual t-shirt with jeans and sneakers.
993,Male,Droopy,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
994,Male,Droopy,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
995,Male,Droopy,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
996,Male,Droopy,Sunny,Casual,A casual t-shirt with jeans and sneakers.
997,Male,Droopy,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
998,Male,Droopy,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
999,Male,Droopy,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
1000,Male,Droopy,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
